Model1_1,Model1_2,Model1_3,Model1_4,Model1_5,Model1_6,Model1_7,Model1_8,Model1_9,Model1_10,Model1_11,Model1_12,Model1_13,Model1_14,Model1_15,Model1_16,Model1_17,Model1_18,Model1_19,Model1_20,Model1_21,Model1_22,Model1_23,Model1_24,Model1_25,Model1_26,Model1_27,Model1_28,Model1_29,Model1_30
1176.8895935903483,-128.06280055598947,179.7045346178147,1026.1520008358557,270.12150468154914,474.40551063358066,86.95920911010796,699.0171097511878,598.7357970019934,768.3216215288955,940.9265478640841,-201.57457787249007,755.780494662557,-80.19168774304151,745.6824059551404,146.7859671548704,284.39104706400883,1027.3147558783899,766.5557271253011,284.92220104182616,338.9846135160257,-71.25107776473999,306.20467567324397,1685.2731829797563,993.8481018518031,637.0429702483357,817.4428176793898,761.2343725890249,1251.6341663562857,1080.422305398885
979.9157553187736,-282.7996895961203,463.6608264604137,676.5568438562965,437.0882610573051,766.6254106973701,191.10114630988687,996.9867535475499,728.7308954503835,50.467645486618096,-116.88386087500967,1250.4325981754318,748.7674850998179,16.944818754898307,630.112715284833,589.7437030458462,650.4829207988911,989.0144291059023,887.7013790741245,440.66791450996766,296.3489639886569,406.9982749041293,558.7928469355853,845.8145904383974,1078.9602549902454,355.058865699716,1116.8008169500567,1252.8243544719614,592.814549829969,898.1012288777447
988.3439972073443,1208.5526028461952,960.9543173277791,1027.2801366819779,722.5014529195892,888.6418078387098,973.4264592160393,1158.122674087683,893.2676958479086,863.9450399911768,1351.42771350368,842.011597895694,985.523719176703,872.027863070406,1076.468880058943,870.5238579614477,768.4957044375203,1316.5055729289566,1040.5266078164473,588.2848028625905,761.3197252589289,347.0031373982569,835.3530505483059,1348.858898083939,1197.067586634325,231.3601623766371,1290.525996761611,955.1429357024094,1020.0774009193794,1179.7093670149914
1719.6476218733367,1831.5632154309003,1867.0314977567796,1848.400373241865,1422.0304966987442,1660.1136953568073,1892.1720560112653,1884.966399519694,1638.3988452301862,1367.4906814181033,1144.6674209388623,1691.4482801941285,1789.3474049611352,1784.4139279884434,1677.8878294794363,1777.8228748194301,1676.3168648431642,1954.4544167251781,1829.2510222910487,1748.9782372147695,1464.073932478206,1158.6208007920397,1752.7952917219588,1851.7110188769268,1979.9241892324662,1632.4335640293348,1898.768506160132,1702.899289783329,1715.6990841427755,1861.2148949879033
2880.758628137547,2653.312583938237,3027.1218957177844,2681.5602038171282,2660.0152317101706,2735.054793784918,3035.760286935084,2951.9152893387045,2757.675857443375,2820.9496465492243,3010.216241475905,2741.972607718366,2723.6430942644142,2956.6300617461957,2829.3069166850505,3018.8814558961953,2879.199279521669,2793.506145676936,2803.504591971339,3010.67624938689,2671.0324321628123,2712.7521551839654,2930.749689785277,2873.2127488547367,2922.6547269817092,2924.7229605521507,2782.139052512329,2838.1631747687015,3056.8065166711076,2977.7914507658747
3652.8998248069324,3124.83710763233,3639.209456828516,3246.960182433905,3290.3218091819895,3309.16969022919,3675.4558467052216,3425.98594587832,3272.794826481353,3285.4255521085365,3626.4175162364736,3620.1557332157263,3303.1288133467406,3646.567081651514,3420.9771906933406,3660.765667119619,3505.2953050338774,3313.653612269739,3312.5380580106507,3752.276761981829,3317.769942480195,3457.782411890312,3594.6365938439053,3366.4883347674186,3301.186230793971,3624.8900832573927,3421.6988149178533,3577.1953202929976,2806.617657016556,3580.7835909265814
2646.5209094133065,1693.0226318745754,2136.7476424823076,1795.2275095302075,1758.433726473538,1900.541081897836,2182.5489848356497,1946.8531980247587,1875.5463784827289,1951.1033270369394,2212.5971039998967,2812.9834470930614,1964.467678934573,2221.125031939019,2090.3421880158826,2123.7922373306105,1979.9730512675249,1970.4899501277544,1882.92103100759,2290.9267834094703,1849.8020709847926,2073.89367388165,2136.0759090205856,2082.7317015060194,1651.3274610024616,2250.805217714476,2113.822600839969,2590.8248527555616,2870.3791713473074,2320.5338651118022
551.929840909488,520.0341010951196,801.4679768318899,1165.2311104809614,776.4446071565807,779.3634327750268,622.1802812782386,545.8396661574352,779.1838794176299,197.91174294150028,21.116740052583452,1753.0063720649453,1181.3966239827766,568.8216074316739,484.7030285644517,801.4306400521543,920.3956349555049,1091.8799238437903,965.7453999167798,826.6842924725947,485.2083619895443,479.1145142019094,993.8910268009752,146.02199148610273,703.3965356440985,-280.96269037228194,1201.9080694943239,676.4372829712966,1002.8680460709131,387.3156503469451
1.8238670644203125,936.163783133461,838.7261663735254,704.3646083392407,406.64025385243156,578.6926255879001,807.2999282581068,342.2166086467886,640.3161483604754,54.885761139357705,940.0379324524413,154.98189499888917,553.4331979142745,798.3835404644371,439.8466509722923,681.3590095114562,611.8764648040916,254.97042389043384,456.91227888157516,598.5833206294467,577.0578456145971,451.44467329398066,690.978505702859,185.71432014091795,435.8890013187102,345.88694399143503,215.83680543712586,-68.85818438607552,-375.54308264731117,103.04391862628319
734.5828672779865,1637.6157652063,1195.5200512806,1124.672424790766,829.7259637180568,1012.064234733435,1186.5352634720643,930.9425355809354,1116.5992380662237,965.7589946045641,928.8887408394335,20.224064158163515,868.3547790862899,1134.49912511403,1050.3161261868236,1054.6122661770985,979.2622027859188,647.5036422288872,883.3601141917616,1001.3676646670813,1134.3816677607956,848.200924448268,1019.0718681235028,1199.482693907089,1069.6064539885153,281.15135914835645,498.4901089710337,479.0170781838487,844.502883762589,858.2437249027348
1440.9914228922241,1560.065114354103,746.5155895589614,992.2587808023002,998.0148413852801,1093.269858049331,490.88110861643577,1228.8050871133423,1171.8966714864212,1130.0363280870856,1579.6496271872038,444.74510196361643,891.8891867088247,363.1879039886411,1284.7998140469,880.1931949150663,938.6031985516582,891.4062147914228,1001.039687795453,820.8527739590377,1203.1855539581707,673.255576216123,832.2256785704951,1716.323950858244,1241.9975477790763,1197.520065165856,883.7930936439399,1237.3519137891726,1435.2729202219296,1393.5813011033565
1474.0591286623912,1367.2677646587485,1512.535530213353,1472.0028736163579,1088.9963551585276,1332.3300818413322,1550.4514876147964,1469.7337066429598,1328.6436231960427,1024.8703521151624,869.7896943048346,1437.474837410253,1417.5269617524243,1462.637618656669,1330.34188573212,1403.0243501512057,1310.4499425721754,1610.0059529516209,1457.8639356760661,1418.862754907569,1171.897162156911,861.074795074954,1392.4024112058746,1588.0987219108079,1612.022508017378,1182.9668428264283,1539.8074891155948,1549.2803614068332,1453.5954634798484,1460.3965734310705
