Date,VelocidadeVentoMedia
2000-01-31,4.0849459999999995
2000-02-29,3.6402300000000003
2000-03-31,4.284946
2000-04-30,3.707778
2000-05-31,4.151612999999999
2000-06-30,3.8255559999999997
2000-07-31,3.6881720000000002
2000-08-31,4.541935
2000-09-30,4.897778
2000-10-31,5.267742
2000-11-30,4.489888
2000-12-31,4.164516000000001
2001-01-31,5.102174
2001-02-28,4.82381
2001-03-31,4.055914
2001-04-30,4.021348000000001
2001-05-31,4.17957
2001-06-30,3.6822220000000003
2001-07-31,4.391398000000001
2001-08-31,5.2784949999999995
2001-09-30,5.033333
2001-10-31,4.594624
2001-11-30,4.652222
2001-12-31,4.7107529999999995
2002-01-31,3.619565
2002-02-28,4.220238
2002-03-31,3.63913
2002-04-30,3.82
2002-05-31,3.839785
2002-06-30,3.227778
2002-07-31,3.754839
2002-08-31,4.02043
2002-09-30,4.4566669999999995
2002-10-31,5.021505
2002-11-30,4.782222
2002-12-31,4.44086
2003-01-31,3.2903230000000003
2003-02-28,4.2380949999999995
2003-03-31,3.532258
2003-04-30,3.592222
2003-05-31,3.7623660000000005
2003-06-30,3.836667
2003-07-31,4.5795699999999995
2003-08-31,4.441935
2003-09-30,4.906667
2003-10-31,5.13871
2003-11-30,4.766667
2003-12-31,4.945161
2004-01-31,3.741935
2004-02-29,4.043678
2004-03-31,4.255914
2004-04-30,4.135555999999999
2004-05-31,4.0021510000000005
2004-06-30,3.8144440000000004
2004-07-31,4.196786
2004-08-31,4.858065
2004-09-30,6.017778
2004-10-31,5.37252
2004-11-30,5.238889
2004-12-31,5.008602
2005-01-31,4.451613
2005-02-28,4.532143
2005-03-31,3.4956989999999997
2005-04-30,4.247778
2005-05-31,3.427957
2005-06-30,3.248889
2005-07-31,4.5021510000000005
2005-08-31,4.529032
2005-09-30,4.927778
2005-10-31,5.229032
2005-11-30,5.134444
2005-12-31,4.9
2006-01-31,5.616129
2006-02-28,3.92381
2006-03-31,3.484946
2006-04-30,2.82
2006-05-31,3.854839
2006-06-30,4.082222
2006-07-31,4.246093
2006-08-31,4.941935
2006-09-30,4.903333
2006-10-31,4.890333999999999
2006-11-30,4.213197
2006-12-31,3.9666669999999997
2007-01-31,4.359617
2007-02-28,3.6261900000000002
2007-03-31,4.332735
2007-04-30,3.9155559999999996
2007-05-31,3.9665230000000005
2007-06-30,3.825098
2007-07-31,4.149462000000001
2007-08-31,5.160215
2007-09-30,5.804777
2007-10-31,5.209378
2007-11-30,4.662222
2007-12-31,4.48172
2008-01-31,4.273118
2008-02-29,3.871264
2008-03-31,2.639785
2008-04-30,2.527778
2008-05-31,3.260215
2008-06-30,3.737778
2008-07-31,4.492473
2008-08-31,4.496773999999999
2008-09-30,5.201111
2008-10-31,5.294624
2008-11-30,4.67
2008-12-31,4.35301
2009-01-31,4.004301
2009-02-28,3.5523809999999996
2009-03-31,3.1897130000000002
2009-04-30,2.083333
2009-05-31,2.567742
2009-06-30,3.201111
2009-07-31,3.530729
2009-08-31,3.968817
2009-09-30,4.5855559999999995
2009-10-31,4.23871
2009-11-30,4.682222
2009-12-31,4.448387
2010-01-31,4.056989
2010-02-28,4.164286
2010-03-31,3.572043
2010-04-30,3.8777779999999997
2010-05-31,3.9741940000000002
2010-06-30,3.838889
2010-07-31,4.408601999999999
2010-08-31,4.858065
2010-09-30,5.362222
2010-10-31,4.460215
2010-11-30,4.533333
2010-12-31,4.0118279999999995
2011-01-31,3.0860220000000003
2011-02-28,3.8988099999999997
2011-03-31,2.867742
2011-04-30,2.8577779999999997
2011-05-31,3.382796
2011-06-30,3.3755559999999996
2011-07-31,3.772043
2011-08-31,4.241935
2011-09-30,5.654444
2011-10-31,4.972043
2011-11-30,4.614444000000001
2011-12-31,4.455914
2012-01-31,4.419355
2012-02-29,4.786551
2012-03-31,4.45086
2012-04-30,4.323827
2012-05-31,4.165591
2012-06-30,3.592222
2012-07-31,4.374194
2012-08-31,4.607526999999999
2012-09-30,3.016667
2012-10-31,4.51828
2012-11-30,4.254444
2012-12-31,4.417204
2013-01-31,4.270968
2013-02-28,4.586905000000001
2013-03-31,4.034408999999999
2013-04-30,3.272222
2013-05-31,3.695699
2013-06-30,3.2833330000000003
2013-07-31,3.6806449999999997
2013-08-31,4.256846
2013-09-30,4.557778
2013-10-31,4.67957
2013-11-30,4.588889
2013-12-31,3.9698919999999998
2014-01-31,4.311828
2014-02-28,4.002381
2014-03-31,3.4462370000000004
2014-04-30,3.241111
2014-05-31,2.992473
2014-06-30,3.514444
2014-07-31,3.675269
2014-08-31,4.016129
2014-09-30,4.256667
2014-10-31,4.875269
2014-11-30,3.945556
2014-12-31,3.96129
2015-01-31,3.989247
2015-02-28,3.640476
2016-02-29,2.893243
2016-03-31,2.640874
2016-04-30,2.5893479999999998
2016-05-31,2.187783
2016-06-30,2.167584
2016-07-31,2.837717
2016-08-31,2.6840349999999997
2016-09-30,3.1438
2016-10-31,4.165305
2016-11-30,2.930574
2016-12-31,2.7455439999999998
2017-01-31,2.119355
2017-02-28,1.317857
2017-03-31,0.630108
2017-04-30,0.384444
2017-05-31,0.8795700000000001
2017-06-30,1.555556
2017-07-31,2.646348
2017-08-31,3.767028
2017-09-30,4.732848000000001
2017-10-31,4.679745
2017-11-30,4.36985
2017-12-31,3.454097
2018-01-31,3.5236370000000004
2018-02-28,3.1982049999999997
2018-03-31,2.832186
2018-04-30,2.5036080000000003
2018-05-31,2.747577
2018-06-30,3.269552
2018-07-31,4.104088
